Wall time,Step,Value
1517738925.6966696,1300,-0.7194479703903198
1517738925.7407005,1408,-0.7188317775726318
1517738926.0649178,2128,-0.723789632320404
1517738926.3433504,2800,-0.7268625497817993
1517738927.0596597,4596,-0.7274083495140076
1517738927.1638122,4848,-0.7296878695487976
1517738927.9185526,6692,-0.7266229391098022
1517738927.9664655,6816,-0.7280441522598267
1517738928.2139645,7420,-0.7253987193107605
1517738928.4232323,7956,-0.7244441509246826
1517738928.835221,8980,-0.7241091132164001
1517738928.8652124,9052,-0.724009096622467
1517738928.9473789,9260,-0.721697986125946
1517738930.2292387,12396,-0.7201945185661316
1517738930.7099147,13500,-0.7279434204101562
1517738930.8723917,13876,-0.7296888828277588
1517738931.578837,15620,-0.737745463848114
1517738931.9249868,16456,-0.7331363558769226
1517738932.1125252,16932,-0.7323908805847168
1517738932.1989908,17144,-0.7312454581260681
1517738932.7458243,18532,-0.7276999950408936
1517738932.895415,18912,-0.7249818444252014
1517738933.0557747,19316,-0.7295147180557251
1517738933.1754794,19628,-0.7281056046485901
1517738933.651874,20820,-0.7273238301277161
1517738933.740369,21040,-0.7269692420959473
1517738934.3011668,22460,-0.7316727042198181
1517738934.488205,22844,-0.7305636405944824
1517738934.5170796,22908,-0.7300636172294617
1517738934.684416,23336,-0.7299363613128662
1517738934.766077,23532,-0.7282147407531738
1517738935.098378,24340,-0.7284328937530518
1517738936.394568,27576,-0.723987877368927
1517738936.7128632,28332,-0.7179787755012512
1517738936.7404227,28396,-0.7194333076477051
1517738936.7922823,28528,-0.7209333181381226
1517738937.1249745,29368,-0.7216238379478455
1517738937.2350106,29652,-0.7210237979888916
1517738937.816662,31092,-0.7203810214996338
1517738937.850523,31176,-0.7203810214996338
1517738938.1621122,31976,-0.7205572128295898
1517738938.28052,32252,-0.7232663035392761
1517738938.958288,33948,-0.7215706706047058
1517738939.1760168,34488,-0.7239161133766174
1517738940.1021554,36824,-0.7284888625144958
1517738940.7320783,38408,-0.7270275354385376
1517738940.7754695,38520,-0.7278275489807129
1517738940.9148695,38872,-0.7291810512542725
1517738940.951203,38964,-0.7297810316085815
1517738941.5057516,40384,-0.7277752161026001
1517738941.5727222,40552,-0.7283297777175903
1517738941.8307514,41220,-0.7269787192344666
1517738941.9651144,41556,-0.7250362634658813
1517738942.0840318,41864,-0.7242363095283508
1517738942.4298382,42752,-0.7272853255271912
1517738942.5447195,43052,-0.7264853119850159
1517738942.6958673,43452,-0.7272398471832275
1517738943.0562787,44380,-0.7249212265014648
1517738943.3984427,45264,-0.725375771522522
1517738943.5679028,45712,-0.7259212136268616
1517738943.743445,46156,-0.7270656824111938
1517738943.7917693,46284,-0.7267656326293945
1517738943.976097,46772,-0.7251829504966736
1517738944.3941627,47856,-0.7238163352012634
1517738944.9712746,49352,-0.7254354953765869
1517738945.1467538,49820,-0.7312636375427246
1517738947.2827592,50124,-0.7289090752601624
1517738949.8475144,50552,-0.7315636277198792
1517738949.9631677,50568,-0.7303545475006104
1517738950.6901083,50676,-0.7290454506874084
1517738958.7441378,51992,-0.72200608253479
1517738967.7757297,53240,-0.7261697053909302
1517738972.242583,53772,-0.7279542088508606
1517738974.6753657,54052,-0.7286996245384216
1517738977.732553,54424,-0.727654218673706
1517738978.4415066,54540,-0.7266541719436646
1517738979.8598175,54768,-0.7273632884025574
1517738987.009499,55920,-0.7251965999603271
1517738990.0310638,56404,-0.7230966091156006
1517738992.6599817,56824,-0.7233848571777344
1517739002.237145,58320,-0.7315727472305298
1517739008.7114692,59348,-0.7315727472305298
1517739016.3555863,60548,-0.7248091101646423
1517739019.966761,61124,-0.7239636182785034
1517739037.5474029,63856,-0.7169918417930603
1517739039.4705596,64168,-0.7187554836273193
1517739041.793296,64540,-0.7141009569168091
1517739045.7158797,65172,-0.7162646055221558
1517739046.7016492,65328,-0.7138100266456604
1517739047.0194528,65380,-0.713610053062439
1517739051.2266521,66000,-0.7102168798446655
1517739052.336412,66148,-0.7091623544692993
1517739061.1895256,67496,-0.7055168747901917
1517739063.4490538,67856,-0.7052168846130371
1517739070.316194,68944,-0.7102895975112915
1517739077.3419652,70052,-0.7085627913475037
1517739077.508735,70080,-0.7082627415657043
1517739077.7759128,70124,-0.7106173038482666
1517739086.2816741,71464,-0.7078890204429626
1517739089.4811604,71972,-0.7028582692146301
1517739090.0477514,72064,-0.7040249705314636
1517739090.881046,72196,-0.703870415687561
1517739095.4594343,72928,-0.7082682251930237
1517739095.8127367,72984,-0.7084682583808899
1517739097.5701127,73264,-0.708677351474762
1517739098.138819,73356,-0.7084773182868958
1517739098.9386141,73484,-0.7089773416519165
1517739104.6854665,74396,-0.7071864604949951
1517739107.6488714,74860,-0.7103965282440186
1517739108.8086486,75044,-0.7107272744178772
1517739136.5184915,79312,-0.6877571940422058
1517739147.8899863,81036,-0.6936472654342651
1517739150.7376618,81468,-0.696730375289917
1517739158.090589,82604,-0.6963759064674377
1517739181.0037909,86076,-0.6879225969314575
1517739196.4588382,88480,-0.6823487877845764
1517739206.1433713,89968,-0.6758714914321899
1517739211.836906,90832,-0.6809735894203186
1517739212.7137883,90968,-0.6789644956588745
1517739224.9839525,92868,-0.6800045371055603
1517739238.2453275,94904,-0.6847878694534302
1517739245.9104342,96092,-0.6802605986595154
1517739253.7986014,97284,-0.6761017441749573
1517739256.5918434,97712,-0.6735610365867615
1517739257.2298002,97812,-0.6739610433578491
1517739257.4459605,97844,-0.673861026763916
1517739270.3834383,99820,-0.668491780757904
1517739286.421359,102264,-0.6697556376457214
1517739293.3292167,103300,-0.6719153523445129
1517739302.3674998,104668,-0.6812716722488403
1517739309.569377,105752,-0.6752955317497253
1517739337.095596,109872,-0.6616590619087219
1517739341.4153936,110500,-0.6675523519515991
1517739341.9064379,110568,-0.6680068969726562
1517739353.6862798,112320,-0.6696404814720154
1517739366.5991955,114244,-0.6598655581474304
1517739370.127993,114764,-0.656751275062561
1517739382.4493535,116576,-0.6483421921730042
1517739387.518656,117316,-0.6488833427429199
1517739388.5694487,117472,-0.6481309533119202
1517739389.1857924,117564,-0.6477309465408325
1517739399.588961,119104,-0.6400596499443054
1517739414.274907,121276,-0.6525161862373352
1517739421.0369987,122272,-0.6591777205467224
1517739428.066168,123284,-0.6602714657783508
1517739440.408763,125096,-0.6501379609107971
1517739456.9704022,127516,-0.6399794816970825
1517739459.9493263,127948,-0.6368488073348999
1517739478.4714434,130484,-0.6444826126098633
1517739482.6165638,130988,-0.6461071372032166
1517739484.2697875,131200,-0.6451404690742493
1517739490.546212,132096,-0.6422051191329956
1517739491.9571767,132300,-0.6416836977005005
1517739499.508887,133404,-0.6408721804618835
1517739509.7885034,134880,-0.637690007686615
1517739513.2075312,135364,-0.6403107643127441
1517739513.7272158,135440,-0.6405016779899597
1517739533.8390133,138320,-0.6393413543701172
1517739542.100023,139504,-0.6401748061180115
1517739556.956346,141632,-0.6431626081466675
1517739561.363722,142252,-0.6395160555839539
1517739566.7012203,142996,-0.6463096141815186
1517739591.9720457,146592,-0.6456645727157593
1517739600.873172,147860,-0.6421540975570679
1517739601.8457966,148000,-0.6383336186408997
1517739603.8206148,148280,-0.6402881741523743
1517739623.919861,151068,-0.6328122019767761
1517739633.9848769,152488,-0.6231381893157959
1517739637.112746,152928,-0.6240360140800476
1517739637.532834,152988,-0.6226836442947388
1517739647.648581,154420,-0.6161420941352844
1517739650.614109,154832,-0.6126924157142639
1517739662.0829363,156424,-0.6119752526283264
1517739679.9595675,158968,-0.6210949420928955
1517739682.0596402,159256,-0.6201494932174683
1517739682.9665704,159384,-0.6222290396690369
1517739702.7103622,162132,-0.631891131401062
1517739703.3887398,162224,-0.6324911117553711
1517739717.1285007,164144,-0.6400543451309204
1517739724.5561225,165192,-0.6293222904205322
1517739740.949101,167508,-0.6372308135032654
1517739751.0007977,168900,-0.6449465155601501
1517739774.2034159,172136,-0.6390830278396606
1517739778.320333,172716,-0.6426007747650146
1517739781.5609448,173176,-0.6445479393005371
1517739797.7243981,175424,-0.6405439376831055
1517739802.9552784,176168,-0.6481452584266663
1517739821.388994,178752,-0.6559414267539978
1517739822.2873054,178876,-0.6569176316261292
1517739830.6515174,180024,-0.6510624885559082
1517739840.8929918,181440,-0.6470764875411987
1517739859.3776512,184056,-0.6426929831504822
1517739860.2902796,184184,-0.6421167850494385
1517739863.98538,184700,-0.6434323787689209
1517739873.9566782,186128,-0.6522759199142456
1517739874.8445227,186252,-0.6549135446548462
1517739896.0296829,189232,-0.6580053567886353
1517739900.2887607,189840,-0.6524655818939209
1517739901.2806275,189980,-0.6515893936157227
1517739910.3211715,191244,-0.6527312397956848
1517739910.9909985,191340,-0.6506130695343018
1517739913.0811307,191636,-0.6483105421066284
1517739922.883255,193000,-0.6498275995254517
1517739928.3934703,193768,-0.6511436104774475
1517739935.1335819,194720,-0.6503069400787354
1517739937.5580866,195064,-0.6484275460243225
1517739944.5964513,196064,-0.6508645415306091
1517739950.1706095,196856,-0.6393762230873108
1517739951.6998055,197068,-0.6405307650566101
1517739978.7096345,200844,-0.6613404154777527
1517739980.841721,201148,-0.6652312874794006
1517739993.2916555,202904,-0.6694684624671936
1517739998.0635426,203580,-0.6664886474609375
