Wall time,Step,Value
1517782425,355,54
1517782425,356,61
1517782426,357,123
1517782427,358,195
1517782427,359,144
1517782428,360,52
1517782428,361,72
1517782428,362,40
1517782429,363,310
1517782430,364,59
1517782430,365,130
1517782431,366,91
1517782431,367,70
1517782431,368,18
1517782432,369,143
1517782432,370,46
1517782432,371,79
1517782432,372,57
1517782433,373,141
1517782433,374,30
1517782433,375,46
1517782434,376,99
1517782434,377,56
1517782436,378,335
1517782436,379,73
1517782436,380,37
1517782436,381,71
1517782437,382,46
1517782437,383,42
1517782437,384,118
1517782438,385,69
1517782438,386,93
1517782438,387,41
1517782439,388,80
1517782439,389,19
1517782439,390,81
1517782440,391,119
1517782440,392,99
1517782440,393,69
1517782441,394,41
1517782441,395,170
1517782442,396,37
1517782442,397,74
1517782442,398,119
1517782444,399,237
1517782444,400,45
1517782444,401,81
1517782444,402,20
1517782445,403,51
1517782445,404,106
1517782446,405,116
1517782446,406,31
1517782447,407,190
1517782447,408,37
1517782447,409,122
1517782448,410,15
1517782448,411,77
1517782448,412,95
1517782449,413,30
1517782449,414,59
1517782449,415,81
1517782450,416,47
1517782450,417,120
1517782451,418,76
1517782451,419,61
1517782451,420,30
1517782452,421,36
1517782452,422,141
1517782452,423,31
1517782453,424,121
1517782453,425,113
1517782454,426,99
1517782455,427,245
1517782455,428,61
1517782456,429,105
1517782456,430,64
1517782457,431,91
1517782457,432,149
1517782458,433,128
1517782458,434,40
1517782459,435,54
1517782459,436,33
1517782459,437,79
1517782460,438,126
1517782460,439,62
1517782460,440,27
1517782461,441,85
1517782461,442,120
1517782462,443,144
1517782462,444,67
1517782462,445,24
1517782462,446,59
1517782463,447,75
1517782463,448,85
1517782463,449,83
1517782464,450,68
1517782464,451,25
1517782464,452,101
1517782465,453,28
1517782465,454,164
1517782465,455,32
1517782466,456,46
1517782466,457,194
1517782467,458,37
1517782467,459,121
1517782467,460,37
1517782468,461,56
1517782468,462,126
1517782468,463,67
1517782469,464,57
1517782469,465,22
1517782469,466,31
1517782470,467,163
1517782470,468,148
1517782470,469,20
1517782471,470,33
1517782471,471,161
1517782471,472,58
1517782472,473,81
1517782472,474,116
1517782473,475,152
1517782473,476,48
1517782474,477,88
1517782474,478,143
